lon,lat,ve,vn,ee,en,site,yrs,t_start_end,network
22.9309,37.9416,-16.33,-26.22,0.14,0.15,KORI,10.94,2008.58-2019.52,METRICA
22.0458,38.2095,-14.31,-25.32,0.17,0.2,KOUN,17.12,2002.39-2019.51,CRL
21.9226,39.3665,-4.5,-8.41,0.18,0.19,KRDI,5.56,2013.96-2019.52,METRICA
17.125,39.0799,6.1,3.6,0.14,0.17,KROT,9.05,2006.87-2015.92,UNAVCO
22.3359,42.2064,0.6,-2.4,0.14,0.16,KRPA,9.7,2009.53-2019.23,MAKPOS
27.1611,35.5471,-13.21,-30.52,0.57,0.49,KRPS,3.21,2012.62-2015.83,NOA
25.6519,41.4735,0.1,-1.1,0.23,0.23,KRUM,4.91,2014.59-2019.51,BULGARIA
21.3286,43.5805,0.99,-1.1,0.16,0.16,KRUS,11.21,2008.28-2019.50,AGROS
22.6179,37.9723,-16.31,-26.74,0.17,0.17,KRYO,10.49,2006.00-2016.50,NOA
20.4169,42.0771,0.96,-0.68,0.35,0.26,KUKE,9.52,2009.91-2019.43,ALBPOS
21.7175,42.1364,0.97,-2.3,0.14,0.16,KUMA,9.68,2009.55-2019.23,MAKPOS
21.2715,43.1376,0.9,-0.9,0.13,0.16,KURS,11.21,2008.28-2019.50,AGROS
22.7131,42.2837,0.73,-2.2,0.13,0.14,KUST,12.02,2007.49-2019.51,BULGARIA
24.1052,38.6349,-14.61,-24.52,0.39,0.37,KYMI,4.67,2014.84-2019.52,METRICA
20.6699,53.8924,-0.1,0.0,0.07,0.1,LAMA,19.51,2000.00-2019.51,EUREF
21.9731,38.3204,-12.61,-20.64,0.26,0.36,LAMB,9.95,2009.56-2019.51,CRL
22.4322,38.8982,-9.11,-12.71,0.33,0.34,LAMM,7.51,2012.00-2019.52,METRICA
22.3879,39.6141,-2.5,-9.41,0.14,0.14,LARM,8.46,2011.05-2019.51,EUREF
25.1806,39.8972,-16.03,-14.51,0.18,0.27,LEMN,11.99,2007.52-2019.51,NOA
20.5989,40.1499,-1.02,-1.21,0.29,0.32,LES1,3.2,2015.16-2018.35,ALBANIA
21.9479,42.9976,0.7,-1.7,0.12,0.12,LESK,11.04,2008.45-2019.50,AGROS
26.5538,39.1001,-19.11,-12.81,0.43,0.43,LESV,4.75,2014.76-2019.52,METRICA
20.7121,38.8345,-3.77,-14.01,0.41,0.5,LFKD,4.5,2015.01-2019.52,METRICA
20.3144,41.1793,-1.1,-0.8,0.38,0.27,LIBR,9.8,2009.63-2019.43,ALBPOS
22.201,38.529,-12.21,-13.84,0.23,0.17,LIDO,17.73,2001.78-2019.51,CRL
24.7084,43.1367,0.5,-1.2,0.15,0.17,LOVE,7.93,2009.84-2017.77,OLG
19.2245,44.5352,1.2,1.0,0.26,0.24,LOZN,11.21,2008.28-2019.50,AGROS
358.7807,46.1589,0.2,0.2,0.09,0.08,LROC,17.62,2001.89-2019.51,EUREF
19.7068,40.9451,-1.16,1.36,0.28,0.23,LUS2,4.21,2015.22-2019.43,ALBPOS
23.0377,37.6125,-17.21,-26.92,0.28,0.28,LYGO,4.75,2014.77-2019.52,METRICA
26.0277,44.3478,-1.1,-0.7,0.23,0.21,MAGU,6.37,2012.43-2018.81,NIEP
20.6978,40.7075,-0.2,-3.06,0.53,0.43,MAL3,11.95,2007.56-2019.51,ALBANIA
12.8935,50.3569,-0.1,0.0,0.1,0.14,MARJ,10.46,2005.21-2015.67,EUREF
16.5864,40.6785,0.9,4.7,0.15,0.23,MATA,7.46,2012.05-2019.51,NETGEO
16.7045,40.6491,0.9,4.5,0.08,0.12,MATE,19.5,2000.01-2019.51,EUREF
16.7046,40.649,1.1,4.6,0.14,0.26,MATG,7.42,2012.08-2019.51,EUREF
17.0271,39.3094,1.38,3.5,0.25,0.29,MEL1,3.99,2015.52-2019.50,ITALPOS
18.3346,40.2779,1.1,3.9,0.21,0.21,MELE,3.01,2016.49-2019.50,ITALPOS
21.4749,38.3664,-10.69,-12.61,0.35,0.4,MESO,4.19,2015.32-2019.51,CRL
23.7623,38.0653,-16.21,-25.71,0.15,0.17,MET0,12.5,2007.01-2019.52,METRICA
28.6829,44.3462,-0.2,-0.3,0.2,0.18,MIDI,6.12,2013.39-2019.51,NIEP
24.4313,36.7422,-17.21,-26.82,0.17,0.2,MIL2,7.84,2011.67-2019.52,METRICA
23.9937,42.6884,0.2,-1.9,0.27,0.31,MIRK,3.15,2014.59-2017.74,BULGARIA
20.8658,42.8888,0.8,-1.3,0.2,0.18,MITR,6.51,2013.00-2019.50,KOPOS
16.6042,41.1956,1.1,3.9,0.14,0.15,MLFT,8.44,2011.07-2019.50,ITALPOS
16.7864,40.3897,0.8,4.1,0.09,0.1,MMET,15.12,2004.39-2019.51,GEODAF
28.5586,43.8106,-0.66,-0.3,0.28,0.16,MNGA,4.84,2013.38-2018.22,NIEP
16.6873,40.3649,0.5,4.1,0.24,0.27,MNIA,4.46,2012.51-2016.97,ITALPOS
24.8777,35.0539,-16.17,-27.42,0.29,0.27,MOIR,5.6,2013.92-2019.52,METRICA
19.5811,42.9604,0.8,0.8,0.15,0.24,MOJK,9.62,2009.88-2019.49,MONTENEGRO
22.8508,36.8056,-17.91,-27.62,0.26,0.2,MOLA,8.66,2010.85-2019.51,METRICA
16.5851,41.1844,0.7,4.83,0.21,0.25,MOLF,7.46,2012.05-2019.51,NETGEO
23.2251,43.4156,0.9,-1.8,0.3,0.17,MONT,7.93,2009.83-2017.77,OLG
16.5744,38.439,2.0,3.0,0.25,0.3,MOST,6.52,2009.63-2016.16,CALABRIA
25.3812,37.0982,-17.61,-26.22,0.2,0.22,NAXO,8.06,2011.46-2019.52,METRICA
23.0603,36.5092,-17.41,-27.22,0.35,0.24,NEAB,7.02,2012.49-2019.51,NOA
22.089,41.4837,1.3,-3.2,0.16,0.2,NEG1,9.66,2009.57-2019.23,MAKPOS
22.5303,44.2262,0.4,-1.8,0.14,0.13,NEGO,11.21,2008.28-2019.50,AGROS
18.9499,42.7758,0.6,1.57,0.19,0.19,NIKS,8.93,2008.00-2016.93,MONTENEGRO
23.864,38.0471,-16.31,-25.42,0.2,0.28,NOA1,13.28,2006.23-2019.51,EUREF
17.0644,40.7888,1.0,4.2,0.12,0.1,NOCI,13.94,2005.57-2019.51,RING
20.5193,43.1396,1.1,-0.5,0.11,0.14,NPAZ,11.21,2008.28-2019.50,AGROS
2.3349,48.8359,0.2,-0.1,0.07,0.07,OPMT,17.46,2002.05-2019.51,IGS
